     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322723.3371675       32.6360061      119.2553675      483.1268086    -5639.3697122    -1281.7549118     3680.5836537
    322723.3538341       32.6991955      119.2396584      483.1452569    -5635.6736850    -1279.7221062     3686.9412720
    322723.3705008       32.7623829      119.2239330      483.1637341    -5631.9706897    -1277.6877188     3693.2943160
    322723.3871675       32.8255684      119.2081914      483.1822403    -5628.2607298    -1275.6517513     3699.6427800
    322723.4038341       32.8887521      119.1924334      483.2007754    -5624.5438100    -1273.6142064     3705.9866561
    322723.4205008       32.9519339      119.1766591      483.2193392    -5620.8199336    -1271.5750859     3712.3259384
    322723.4371675       33.0151137      119.1608683      483.2379317    -5617.0891076    -1269.5343936     3718.6606151
    322723.4538341       33.0782917      119.1450610      483.2565527    -5613.3513356    -1267.4921314     3724.9906804
    322723.4705008       33.1414677      119.1292371      483.2752023    -5609.6066222    -1265.4483019     3731.3161265
    322723.4871675       33.2046418      119.1133966      483.2938802    -5605.8549709    -1263.4029069     3737.6369475
    322723.5038341       33.2678140      119.0975393      483.3125864    -5602.0963887    -1261.3559502     3743.9531316
    322723.5205008       33.3309843      119.0816653      483.3313209    -5598.3308793    -1259.3074339     3750.2646731
    322723.5371675       33.3941526      119.0657745      483.3500834    -5594.5584471    -1257.2573603     3756.5715641
    322723.5538341       33.4573190      119.0498667      483.3688740    -5590.7790958    -1255.2057315     3762.8737987
    322723.5705008       33.5204834      119.0339420      483.3876925    -5586.9928324    -1253.1525511     3769.1713654
    322723.5871675       33.5836459      119.0180003      483.4065388    -5583.1996606    -1251.0978213     3775.4642582
    322723.6038341       33.6468064      119.0020414      483.4254129    -5579.3995849    -1249.0415444     3781.7524694
    322723.6205008       33.7099650      118.9860654      483.4443146    -5575.5926091    -1246.9837224     3788.0359932
    322723.6371675       33.7731216      118.9700722      483.4632439    -5571.7787401    -1244.9243591     3794.3148179
    322723.6538341       33.8362763      118.9540617      483.4822007    -5567.9579815    -1242.8634566     3800.5889376
    322723.6705008       33.8994289      118.9380338      483.5011848    -5564.1303370    -1240.8010165     3806.8583467
    322723.6871675       33.9625796      118.9219885      483.5201963    -5560.2958137    -1238.7370429     3813.1230334
    322723.7038341       34.0257283      118.9059257      483.5392349    -5556.4544152    -1236.6715377     3819.3829919
    322723.7205008       34.0888750      118.8898454      483.5583006    -5552.6061463    -1234.6045033     3825.6382146
    322723.7371675       34.1520197      118.8737474      483.5773933    -5548.7510105    -1232.5359417     3831.8886956
    322723.7538341       34.2151624      118.8576318      483.5965129    -5544.8890151    -1230.4658568     3838.1344233
    322723.7705008       34.2783031      118.8414983      483.6156593    -5541.0201637    -1228.3942505     3844.3753920
    322723.7871675       34.3414418      118.8253471      483.6348325    -5537.1444612    -1226.3211254     3850.6115939
    322723.8038341       34.4045784      118.8091779      483.6540323    -5533.2619110    -1224.2464833     3856.8430234
    322723.8205008       34.4677131      118.7929908      483.6732586    -5529.3725206    -1222.1703283     3863.0696687
    322723.8371675       34.5308457      118.7767857      483.6925114    -5525.4762935    -1220.0926621     3869.2915241
    322723.8538341       34.5939762      118.7605624      483.7117905    -5521.5732347    -1218.0134873     3875.5085821
    322723.8705008       34.6571048      118.7443209      483.7310958    -5517.6633477    -1215.9328060     3881.7208367
    322723.8871675       34.7202312      118.7280613      483.7504274    -5513.7466398    -1213.8506220     3887.9282766
    322723.9038341       34.7833557      118.7117833      483.7697850    -5509.8231148    -1211.7669371     3894.1308959
    322723.9205008       34.8464780      118.6954869      483.7891685    -5505.8927775    -1209.6817541     3900.3286869
    322723.9371675       34.9095983      118.6791720      483.8085780    -5501.9556316    -1207.5950748     3906.5216440
    322723.9538341       34.9727166      118.6628387      483.8280132    -5498.0116845    -1205.5069031     3912.7097557
    322723.9705008       35.0358327      118.6464867      483.8474741    -5494.0609398    -1203.4172410     3918.8930162
    322723.9871675       35.0989468      118.6301161      483.8669606    -5490.1034025    -1201.3260910     3925.0714179
    322724.0038341       35.1620588      118.6137267      483.8864726    -5486.1390763    -1199.2334552     3931.2449551
    322724.0205008       35.2251688      118.5973185      483.9060101    -5482.1679685    -1197.1393373     3937.4136163
    322724.0371675       35.2882766      118.5808914      483.9255728    -5478.1900830    -1195.0437394     3943.5773959
    322724.0538341       35.3513823      118.5644453      483.9451607    -5474.2054246    -1192.9466640     3949.7362861
    322724.0705008       35.4144859      118.5479802      483.9647738    -5470.2139971    -1190.8481131     3955.8902815
    322724.0871675       35.4775874      118.5314960      483.9844119    -5466.2158080    -1188.7480907     3962.0393704
    322724.1038341       35.5406868      118.5149927      484.0040749    -5462.2108610    -1186.6465986     3968.1835471
    322724.1205008       35.6037840      118.4984700      484.0237628    -5458.1991611    -1184.5436394     3974.3228043
    322724.1371675       35.6668792      118.4819280      484.0434754    -5454.1807120    -1182.4392152     3980.4571361
    322724.1538341       35.7299721      118.4653667      484.0632126    -5450.1555212    -1180.3333298     3986.5865312
    322724.1705008       35.7930630      118.4487858      484.0829744    -5446.1235926    -1178.2259852     3992.7109838
    322724.1871675       35.8561517      118.4321854      484.1027607    -5442.0849311    -1176.1171840     3998.8304865
    322724.2038341       35.9192383      118.4155653      484.1225713    -5438.0395405    -1174.0069282     4004.9450336
    322724.2205008       35.9823226      118.3989256      484.1424061    -5433.9874285    -1171.8952217     4011.0546138
    322724.2371675       36.0454049      118.3822660      484.1622652    -5429.9285987    -1169.7820665     4017.1592213
    322724.2538341       36.1084849      118.3655866      484.1821483    -5425.8630562    -1167.6674651     4023.2588487
    322724.2705008       36.1715628      118.3488873      484.2020554    -5421.7908048    -1165.5514196     4029.3534903
    322724.2871675       36.2346385      118.3321679      484.2219864    -5417.7118522    -1163.4339339     4035.4431348
    322724.3038341       36.2977120      118.3154285      484.2419411    -5413.6262022    -1161.3150099     4041.5277766
    322724.3205008       36.3607833      118.2986688      484.2619196    -5409.5338598    -1159.1946504     4047.6074082
    322724.3371675       36.4238525      118.2818889      484.2819216    -5405.4348289    -1157.0728571     4053.6820240
    322724.3538341       36.4869194      118.2650887      484.3019471    -5401.3291171    -1154.9496343     4059.7516126
    322724.3705008       36.5499841      118.2482681      484.3219961    -5397.2167284    -1152.8249836     4065.8161685
    322724.3871675       36.6130466      118.2314270      484.3420683    -5393.0976664    -1150.6989073     4071.8756860
    322724.4038341       36.6761069      118.2145653      484.3621638    -5388.9719390    -1148.5714092     4077.9301540
    322724.4205008       36.7391649      118.1976829      484.3822823    -5384.8395499    -1146.4424912     4083.9795669
    322724.4371675       36.8022207      118.1807798      484.4024239    -5380.7005044    -1144.3121561     4090.0239171
    322724.4538341       36.8652743      118.1638560      484.4225884    -5376.5548063    -1142.1804059     4096.0631991
    322724.4705008       36.9283256      118.1469112      484.4427757    -5372.4024634    -1140.0472444     4102.0974016
    322724.4871675       36.9913746      118.1299454      484.4629857    -5368.2434795    -1137.9126737     4108.1265192
    322724.5038341       37.0544215      118.1129586      484.4832184    -5364.0778598    -1135.7766964     4114.1505443
    322724.5205008       37.1174660      118.0959506      484.5034736    -5359.9056082    -1133.6393145     4120.1694715
    322724.5371675       37.1805083      118.0789215      484.5237512    -5355.7267325    -1131.5005319     4126.1832895
    322724.5538341       37.2435483      118.0618710      484.5440512    -5351.5412367    -1129.3603508     4132.1919927
    322724.5705008       37.3065860      118.0447991      484.5643734    -5347.3491259    -1127.2187737     4138.1955738
    322724.5871675       37.3696214      118.0277057      484.5847177    -5343.1504040    -1125.0758026     4144.1940273
    322724.6038341       37.4326545      118.0105908      484.6050841    -5338.9450789    -1122.9314415     4150.1873419
    322724.6205008       37.4956853      117.9934543      484.6254724    -5334.7331546    -1120.7856924     4156.1755122
    322724.6371675       37.5587138      117.9762960      484.6458826    -5330.5146363    -1118.6385579     4162.1585308
    322724.6538341       37.6217401      117.9591159      484.6663146    -5326.2895278    -1116.4900401     4168.1363921
    322724.6705008       37.6847639      117.9419139      484.6867682    -5322.0578372    -1114.3401430     4174.1090851
    322724.6871675       37.7477855      117.9246899      484.7072433    -5317.8195684    -1112.1888685     4180.0766042
    322724.7038341       37.8108047      117.9074438      484.7277399    -5313.5747267    -1110.0362194     4186.0389421
    322724.7205008       37.8738216      117.8901756      484.7482579    -5309.3233159    -1107.8821976     4191.9960932
    322724.7371675       37.9368361      117.8728851      484.7687971    -5305.0653441    -1105.7268071     4197.9480466
    322724.7538341       37.9998483      117.8555723      484.7893575    -5300.8008153    -1103.5700499     4203.8947967
    322724.7705008       38.0628581      117.8382371      484.8099390    -5296.5297347    -1101.4119288     4209.8363362
    322724.7871675       38.1258656      117.8208794      484.8305415    -5292.2521064    -1099.2524456     4215.7726596
    322724.8038341       38.1888707      117.8034990      484.8511648    -5287.9679384    -1097.0916045     4221.7037559
    322724.8205008       38.2518734      117.7860960      484.8718089    -5283.6772346    -1094.9294075     4227.6296196
    322724.8371675       38.3148737      117.7686702      484.8924737    -5279.3800004    -1092.7658571     4233.5502434
    322724.8538341       38.3778716      117.7512215      484.9131590    -5275.0762398    -1090.6009556     4239.4656218
    322724.8705008       38.4408672      117.7337499      484.9338649    -5270.7659609    -1088.4347067     4245.3757439
    322724.8871675       38.5038603      117.7162552      484.9545911    -5266.4491676    -1086.2671127     4251.2806043
    322724.9038341       38.5668510      117.6987373      484.9753376    -5262.1258655    -1084.0981761     4257.1801955
    322724.9205008       38.6298393      117.6811962      484.9961043    -5257.7960584    -1081.9278990     4263.0745123
    322724.9371675       38.6928252      117.6636318      485.0168910    -5253.4597545    -1079.7562855     4268.9635436
    322724.9538341       38.7558087      117.6460440      485.0376978    -5249.1169579    -1077.5833374     4274.8472840
    322724.9705008       38.8187897      117.6284326      485.0585245    -5244.7676739    -1075.4090576     4280.7257263
    322724.9871675       38.8817682      117.6107977      485.0793709    -5240.4119066    -1073.2334481     4286.5988650
    322725.0038341       38.9447444      117.5931390      485.1002371    -5236.0496642    -1071.0565129     4292.4666893
    322725.0205008       39.0077180      117.5754565      485.1211228    -5231.6809507    -1068.8782540     4298.3291937
    322725.0371675       39.0706892      117.5577502      485.1420280    -5227.3057703    -1066.6986734     4304.1863728
    322725.0538341       39.1336579      117.5400198      485.1629526    -5222.9241310    -1064.5177753     4310.0382158
    322725.0705008       39.1966242      117.5222654      485.1838966    -5218.5360371    -1062.3355616     4315.8847172
    322725.0871675       39.2595879      117.5044868      485.2048597    -5214.1414938    -1060.1520350     4321.7258699
    322725.1038341       39.3225492      117.4866839      485.2258419    -5209.7405055    -1057.9671976     4327.5616685
    322725.1205008       39.3855080      117.4688567      485.2468431    -5205.3330802    -1055.7810534     4333.3921021
    322725.1371675       39.4484642      117.4510049      485.2678633    -5200.9192221    -1053.5936045     4339.2171653
    322725.1538341       39.5114180      117.4331286      485.2889022    -5196.4989367    -1051.4048536     4345.0368510
    322725.1705008       39.5743692      117.4152276      485.3099598    -5192.0722281    -1049.2148027     4350.8511539
    322725.1871675       39.6373179      117.3973019      485.3310361    -5187.6391046    -1047.0234559     4356.6600630
    322725.2038341       39.7002641      117.3793513      485.3521308    -5183.1995704    -1044.8308152     4362.4635731
    322725.2205008       39.7632077      117.3613757      485.3732440    -5178.7536309    -1042.6368834     4368.2616771
    322725.2371675       39.8261488      117.3433750      485.3943754    -5174.3012903    -1040.4416624     4374.0543695
    322725.2538341       39.8890874      117.3253492      485.4155251    -5169.8425570    -1038.2451564     4379.8416396
    322725.2705008       39.9520233      117.3072981      485.4366928    -5165.3774351    -1036.0473674     4385.6234821
    322725.2871675       40.0149567      117.2892217      485.4578786    -5160.9059301    -1033.8482982     4391.3998899
    322725.3038341       40.0778876      117.2711197      485.4790823    -5156.4280462    -1031.6479507     4397.1708576
    322725.3205008       40.1408158      117.2529922      485.5003038    -5151.9437919    -1029.4463291     4402.9363746
    322725.3371675       40.2037414      117.2348390      485.5215430    -5147.4531713    -1027.2434354     4408.6964354
    322725.3538341       40.2666645      117.2166600      485.5427998    -5142.9561899    -1025.0392724     4414.4510330
    322725.3705008       40.3295849      117.1984551      485.5640742    -5138.4528521    -1022.8338420     4420.2001622
    322725.3871675       40.3925028      117.1802243      485.5853659    -5133.9431661    -1020.6271485     4425.9438122
    322725.4038341       40.4554180      117.1619673      485.6066749    -5129.4271362    -1018.4191938     4431.6819778
    322725.4205008       40.5183306      117.1436841      485.6280012    -5124.9047680    -1016.2099806     4437.4146518
    322725.4371675       40.5812405      117.1253746      485.6493446    -5120.3760659    -1013.9995111     4443.1418291
    322725.4538341       40.6441478      117.1070387      485.6707049    -5115.8410381    -1011.7877894     4448.8634989
    322725.4705008       40.7070525      117.0886762      485.6920822    -5111.2996889    -1009.5748175     4454.5796560
    322725.4871675       40.7699545      117.0702872      485.7134763    -5106.7520241    -1007.3605981     4460.2902934
    322725.5038341       40.8328538      117.0518713      485.7348871    -5102.1980478    -1005.1451333     4465.9954058
    322725.5205008       40.8957505      117.0334287      485.7563145    -5097.6377686    -1002.9284273     4471.6949825
    322725.5371675       40.9586445      117.0149590      485.7777585    -5093.0711907    -1000.7104820     4477.3890185
    322725.5538341       41.0215358      116.9964623      485.7992188    -5088.4983198     -998.4913003     4483.0775066
    322725.5705008       41.0844244      116.9779384      485.8206955    -5083.9191601     -996.2708842     4488.7604416
    322725.5871675       41.1473103      116.9593872      485.8421883    -5079.3337203     -994.0492377     4494.4378129
    322725.6038341       41.2101935      116.9408086      485.8636973    -5074.7420046     -991.8263631     4500.1096154
    322725.6205008       41.2730739      116.9222025      485.8852223    -5070.1440187     -989.6022631     4505.7758420
    322725.6371675       41.3359517      116.9035687      485.9067631    -5065.5397669     -987.3769396     4511.4364876
    322725.6538341       41.3988267      116.8849072      485.9283198    -5060.9292578     -985.1503969     4517.0915416
    322725.6705008       41.4616989      116.8662178      485.9498922    -5056.3124957     -982.9226370     4522.7409988
    322725.6871675       41.5245685      116.8475005      485.9714803    -5051.6894850     -980.6936620     4528.3848540
    322725.7038341       41.5874352      116.8287551      485.9930838    -5047.0602342     -978.4634760     4534.0230968
    322725.7205008       41.6502992      116.8099814      486.0147027    -5042.4247477     -976.2320812     4539.6557219
    322725.7371675       41.7131604      116.7911795      486.0363369    -5037.7830312     -973.9994802     4545.2827224
    322725.7538341       41.7760189      116.7723491      486.0579864    -5033.1350891     -971.7656752     4550.9040932
    322725.7705008       41.8388745      116.7534901      486.0796509    -5028.4809301     -969.5306702     4556.5198238
    322725.7871675       41.9017274      116.7346025      486.1013304    -5023.8205585     -967.2944675     4562.1299090
    322725.8038341       41.9645774      116.7156861      486.1230249    -5019.1539801     -965.0570697     4567.7343420
    322725.8205008       42.0274247      116.6967408      486.1447341    -5014.4811993     -962.8184789     4573.3331175
    322725.8371675       42.0902691      116.6777664      486.1664581    -5009.8022247     -960.5786993     4578.9262252
    322725.8538341       42.1531106      116.6587629      486.1881967    -5005.1170608     -958.3377329     4584.5136599
    322725.8705008       42.2159494      116.6397301      486.2099497    -5000.4257134     -956.0955827     4590.0954148
    322725.8871675       42.2787853      116.6206679      486.2317172    -4995.7281869     -953.8522505     4595.6714847
    322725.9038341       42.3416183      116.6015762      486.2534989    -4991.0244900     -951.6077407     4601.2418593
    322725.9205008       42.4044485      116.5824549      486.2752949    -4986.3146272     -949.3620552     4606.8065335
    322725.9371675       42.4672758      116.5633038      486.2971049    -4981.5986042     -947.1151969     4612.3655003
    322725.9538341       42.5301002      116.5441228      486.3189290    -4976.8764255     -944.8671679     4617.9187547
    322725.9705008       42.5929217      116.5249118      486.3407669    -4972.1480999     -942.6179723     4623.4662864
    322725.9871675       42.6557404      116.5056707      486.3626186    -4967.4136319     -940.3676122     4629.0080902
    322726.0038341       42.7185561      116.4863993      486.3844841    -4962.6730273     -938.1160904     4634.5441595
    322726.0205008       42.7813689      116.4670975      486.4063631    -4957.9262904     -935.8634091     4640.0744889
    322726.0371675       42.8441788      116.4477652      486.4282556    -4953.1734303     -933.6095723     4645.5990684
    322726.0538341       42.9069857      116.4284022      486.4501615    -4948.4144514     -931.3545822     4651.1178928
    322726.0705008       42.9697898      116.4090085      486.4720807    -4943.6493595     -929.0984416     4656.6309553
    322726.0871675       43.0325908      116.3895839      486.4940130    -4938.8781590     -926.8411526     4662.1382509
    322726.1038341       43.0953889      116.3701282      486.5159585    -4934.1008591     -924.5827193     4667.6397693
    322726.1205008       43.1581841      116.3506414      486.5379170    -4929.3174639     -922.3231440     4673.1355054
    322726.1371675       43.2209762      116.3311233      486.5598883    -4924.5279796     -920.0624293     4678.6254526
    322726.1538341       43.2837654      116.3115737      486.5818724    -4919.7324106     -917.8005773     4684.1096058
    322726.1705008       43.3465516      116.2919926      486.6038692    -4914.9307658     -915.5375923     4689.5879547
    322726.1871675       43.4093348      116.2723798      486.6258786    -4910.1230497     -913.2734764     4695.0604944
    322726.2038341       43.4721150      116.2527352      486.6479004    -4905.3092684     -911.0082324     4700.5272180
    322726.2205008       43.5348921      116.2330586      486.6699347    -4900.4894262     -908.7418624     4705.9881207
    322726.2371675       43.5976662      116.2133500      486.6919812    -4895.6635322     -906.4743706     4711.4431923
    322726.2538341       43.6604373      116.1936091      486.7140399    -4890.8315910     -904.2057590     4716.8924276
    322726.2705008       43.7232053      116.1738358      486.7361106    -4885.9936084     -901.9360306     4722.3358201
    322726.2871675       43.7859703      116.1540300      486.7581934    -4881.1495890     -899.6651874     4727.7733648
    322726.3038341       43.8487322      116.1341916      486.7802880    -4876.2995419     -897.3932337     4733.2050515
    322726.3205008       43.9114910      116.1143204      486.8023944    -4871.4434716     -895.1201715     4738.6308752
    322726.3371675       43.9742468      116.0944163      486.8245124    -4866.5813826     -892.8460029     4744.0508310
    322726.3538341       44.0369994      116.0744791      486.8466420    -4861.7132840     -890.5707323     4749.4649089
    322726.3705008       44.0997490      116.0545087      486.8687831    -4856.8391803     -888.2943616     4754.8731037
    322726.3871675       44.1624954      116.0345049      486.8909355    -4851.9590776     -886.0168938     4760.2754089
    322726.4038341       44.2252387      116.0144677      486.9130992    -4847.0729805     -883.7383309     4765.6718196
    322726.4205008       44.2879789      115.9943969      486.9352741    -4842.1808980     -881.4586772     4771.0623257
    322726.4371675       44.3507159      115.9742922      486.9574600    -4837.2828347     -879.1779348     4776.4469222
    322726.4538341       44.4134498      115.9541537      486.9796569    -4832.3787968     -876.8961065     4781.8256025
    322726.4705008       44.4761805      115.9339811      487.0018647    -4827.4687887     -874.6131944     4787.1983618
    322726.4871675       44.5389081      115.9137742      487.0240832    -4822.5528198     -872.3292028     4792.5651899
    322726.5038341       44.6016324      115.8935330      487.0463123    -4817.6308944     -870.0441338     4797.9260821
    322726.5205008       44.6643536      115.8732573      487.0685520    -4812.7030188     -867.7579902     4803.2810316
    322726.5371675       44.7270716      115.8529470      487.0908022    -4807.7691976     -865.4707742     4808.6300337
    322726.5538341       44.7897863      115.8326018      487.1130627    -4802.8294400     -863.1824900     4813.9730782
    322726.5705008       44.8524979      115.8122217      487.1353334    -4797.8837505     -860.8931396     4819.3101604
    322726.5871675       44.9152062      115.7918065      487.1576143    -4792.9321353     -858.6027261     4824.6412737
    322726.6038341       44.9779112      115.7713560      487.1799053    -4787.9745991     -856.3112514     4829.9664132
    322726.6205008       45.0406130      115.7508701      487.2022062    -4783.0111511     -854.0187199     4835.2855690
    322726.6371675       45.1033116      115.7303487      487.2245169    -4778.0417958     -851.7251337     4840.5987362
    322726.6538341       45.1660069      115.7097915      487.2468374    -4773.0665396     -849.4304956     4845.9059083
    322726.6705008       45.2286989      115.6891985      487.2691675    -4768.0853871     -847.1348077     4851.2070804
    322726.6871675       45.2913876      115.6685694      487.2915072    -4763.0983474     -844.8380743     4856.5022428
    322726.7038341       45.3540730      115.6479042      487.3138562    -4758.1054254     -842.5402975     4861.7913904
    322726.7205008       45.4167550      115.6272026      487.3362146    -4753.1066271     -840.2414803     4867.0745168
    322726.7371675       45.4794338      115.6064645      487.3585823    -4748.1019573     -837.9416247     4872.3516172
    322726.7538341       45.5421092      115.5856897      487.3809591    -4743.0914253     -835.6407349     4877.6226817
    322726.7705008       45.6047813      115.5648781      487.4033449    -4738.0750358     -833.3388132     4882.8877056
    322726.7871675       45.6674500      115.5440295      487.4257396    -4733.0527949     -831.0358624     4888.1466824
    322726.8038341       45.7301154      115.5231438      487.4481432    -4728.0247074     -828.7318846     4893.3996072
    322726.8205008       45.7927774      115.5022208      487.4705555    -4722.9907827     -826.4268841     4898.6464703
    322726.8371675       45.8554359      115.4812603      487.4929764    -4717.9510255     -824.1208630     4903.8872669
    322726.8538341       45.9180911      115.4602622      487.5154058    -4712.9054419     -821.8138243     4909.1219905
    322726.8705008       45.9807429      115.4392262      487.5378437    -4707.8540368     -819.5057699     4914.3506363
    322726.8871675       46.0433913      115.4181523      487.5602898    -4702.7968196     -817.1967043     4919.5731946
    322726.9038341       46.1060362      115.3970403      487.5827442    -4697.7337949     -814.8866296     4924.7896607
    322726.9205008       46.1686777      115.3758900      487.6052067    -4692.6649690     -812.5755485     4930.0000282
    322726.9371675       46.2313157      115.3547011      487.6276773    -4687.5903468     -810.2634634     4935.2042921
    322726.9538341       46.2939503      115.3334737      487.6501557    -4682.5099376     -807.9503784     4940.4024430
    322726.9705008       46.3565813      115.3122074      487.6726419    -4677.4237462     -805.6362958     4945.5944759
    322726.9871675       46.4192089      115.2909022      487.6951359    -4672.3317773     -803.3212175     4950.7803863
    322727.0038341       46.4818330      115.2695577      487.7176374    -4667.2340404     -801.0051481     4955.9601643
    322727.0205008       46.5444536      115.2481740      487.7401465    -4662.1305403     -798.6880896     4961.1338054
    322727.0371675       46.6070707      115.2267507      487.7626629    -4657.0212833     -796.3700448     4966.3013031
    322727.0538341       46.6696842      115.2052878      487.7851867    -4651.9062742     -794.0510160     4971.4626527
    322727.0705008       46.7322942      115.1837850      487.8077177    -4646.7855225     -791.7310074     4976.6178446
    322727.0871675       46.7949006      115.1622422      487.8302557    -4641.6590330     -789.4100213     4981.7668741
    322727.1038341       46.8575034      115.1406591      487.8528008    -4636.5268121     -787.0880603     4986.9097348
    322727.1205008       46.9201027      115.1190356      487.8753528    -4631.3888645     -784.7651268     4992.0464222
    322727.1371675       46.9826984      115.0973716      487.8979115    -4626.2451999     -782.4412251     4997.1769265
    322727.1538341       47.0452905      115.0756668      487.9204770    -4621.0958229     -780.1163572     5002.3012431
    322727.1705008       47.1078789      115.0539211      487.9430490    -4615.9407401     -777.7905261     5007.4193657
    322727.1871675       47.1704637      115.0321342      487.9656275    -4610.7799562     -775.4637340     5012.5312897
    322727.2038341       47.2330449      115.0103061      487.9882124    -4605.6134809     -773.1359850     5017.6370055
    322727.2205008       47.2956224      114.9884364      488.0108036    -4600.4413190     -770.8072815     5022.7365085
    322727.2371675       47.3581963      114.9665251      488.0334010    -4595.2634768     -768.4776263     5027.8297924
    322727.2538341       47.4207665      114.9445718      488.0560045    -4590.0799593     -766.1470216     5032.9168525
    322727.2705008       47.4833330      114.9225765      488.0786140    -4584.8907760     -763.8154716     5037.9976794
    322727.2871675       47.5458958      114.9005390      488.1012293    -4579.6959319     -761.4829786     5043.0722684
    322727.3038341       47.6084548      114.8784590      488.1238504    -4574.4954333     -759.1495454     5048.1406133
    322727.3205008       47.6710102      114.8563364      488.1464772    -4569.2892851     -756.8151742     5053.2027095
    322727.3371675       47.7335618      114.8341710      488.1691096    -4564.0774971     -754.4798693     5058.2585475
    322727.3538341       47.7961096      114.8119625      488.1917475    -4558.8600741     -752.1436329     5063.3081228
    322727.3705008       47.8586537      114.7897108      488.2143907    -4553.6370225     -749.8064680     5068.3514291
    322727.3871675       47.9211940      114.7674157      488.2370392    -4548.4083473     -747.4683765     5073.3884618
    322727.4038341       47.9837305      114.7450770      488.2596929    -4543.1740582     -745.1293630     5078.4192116
    322727.4205008       48.0462632      114.7226945      488.2823516    -4537.9341600     -742.7894296     5083.4436738
    322727.4371675       48.1087921      114.7002680      488.3050154    -4532.6886593     -740.4485792     5088.4618423
    322727.4538341       48.1713172      114.6777972      488.3276839    -4527.4375609     -738.1068138     5093.4737125
    322727.4705008       48.2338384      114.6552821      488.3503573    -4522.1808747     -735.7641380     5098.4792752
    322727.4871675       48.2963557      114.6327223      488.3730353    -4516.9186055     -733.4205538     5103.4785256
    322727.5038341       48.3588692      114.6101177      488.3957179    -4511.6507599     -731.0760642     5108.4714576
    322727.5205008       48.4213788      114.5874680      488.4184050    -4506.3773428     -728.7306713     5113.4580668
    322727.5371675       48.4838845      114.5647732      488.4410964    -4501.0983640     -726.3843795     5118.4383438
    322727.5538341       48.5463863      114.5420329      488.4637920    -4495.8138284     -724.0371910     5123.4122841
    322727.5705008       48.6088841      114.5192469      488.4864919    -4490.5237427     -721.6891087     5128.3798816
    322727.5871675       48.6713781      114.4964150      488.5091958    -4485.2281116     -719.3401347     5133.3411318
    322727.6038341       48.7338680      114.4735371      488.5319036    -4479.9269452     -716.9902734     5138.2960253
    322727.6205008       48.7963540      114.4506129      488.5546153    -4474.6202483     -714.6395270     5143.2445577
    322727.6371675       48.8588360      114.4276422      488.5773308    -4469.3080259     -712.2878977     5148.1867245
    322727.6538341       48.9213140      114.4046247      488.6000499    -4463.9902879     -709.9353898     5153.1225165
    322727.6705008       48.9837880      114.3815604      488.6227726    -4458.6670392     -707.5820056     5158.0519291
    322727.6871675       49.0462580      114.3584488      488.6454987    -4453.3382864     -705.2277478     5162.9749564
    322727.7038341       49.1087240      114.3352899      488.6682282    -4448.0040346     -702.8726188     5167.8915938
    322727.7205008       49.1711859      114.3120834      488.6909610    -4442.6642936     -700.5166229     5172.8018322
    322727.7371675       49.2336437      114.2888291      488.7136968    -4437.3190684     -698.1597623     5177.7056672
    322727.7538341       49.2960974      114.2655267      488.7364358    -4431.9683657     -695.8020398     5182.6030925
    322727.7705008       49.3585471      114.2421760      488.7591777    -4426.6121904     -693.4434577     5187.4941039
    322727.7871675       49.4209926      114.2187769      488.7819224    -4421.2505526     -691.0840204     5192.3786923
    322727.8038341       49.4834340      114.1953290      488.8046699    -4415.8834571     -688.7237300     5197.2568531
    322727.8205008       49.5458713      114.1718322      488.8274200    -4410.5109108     -686.3625895     5202.1285803
    322727.8371675       49.6083044      114.1482862      488.8501727    -4405.1329186     -684.0006011     5206.9938696
    322727.8538341       49.6707333      114.1246908      488.8729278    -4399.7494904     -681.6377691     5211.8527119
    322727.8705008       49.7331581      114.1010458      488.8956853    -4394.3606314     -679.2740957     5216.7051027
    322727.8871675       49.7955786      114.0773508      488.9184450    -4388.9663482     -676.9095838     5221.5510361
    322727.9038341       49.8579950      114.0536058      488.9412069    -4383.5666459     -674.5442357     5226.3905077
    322727.9205008       49.9204071      114.0298104      488.9639708    -4378.1615344     -672.1780558     5231.2235085
    322727.9371675       49.9828149      114.0059644      488.9867366    -4372.7510189     -669.8110462     5236.0500340
    322727.9538341       50.0452185      113.9820676      489.0095043    -4367.3351060     -667.4432098     5240.8700784
    322727.9705008       50.1076178      113.9581197      489.0322737    -4361.9138008     -665.0745489     5245.6836372
    322727.9871675       50.1700128      113.9341204      489.0550448    -4356.4871134     -662.7050678     5250.4907015
    322728.0038341       50.2324035      113.9100697      489.0778174    -4351.0550489     -660.3347688     5255.2912669
    322728.0205008       50.2947899      113.8859671      489.1005914    -4345.6176140     -657.9636548     5260.0853275
    322728.0371675       50.3571719      113.8618124      489.1233668    -4340.1748136     -655.5917279     5264.8728790
    322728.0538341       50.4195496      113.8376055      489.1461435    -4334.7266581     -653.2189927     5269.6539124
    322728.0705008       50.4819229      113.8133460      489.1689213    -4329.2731525     -650.8454512     5274.4284234
