     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322635.3038341       56.3415780      134.8313540      491.2807825    -3792.4019860     -419.5182032     5694.5351673
    322635.3205008       56.4034421      134.8006609      491.3032084    -3786.4677838     -417.0881276     5698.6623834
    322635.3371675       56.4652996      134.7698819      491.3256260    -3780.5289135     -414.6575383     5702.7825497
    322635.3538341       56.5271505      134.7390164      491.3480353    -3774.5853804     -412.2264376     5706.8956627
    322635.3705008       56.5889948      134.7080640      491.3704362    -3768.6371919     -409.7948285     5711.0017171
    322635.3871675       56.6508325      134.6770241      491.3928286    -3762.6843535     -407.3627133     5715.1007094
    322635.4038341       56.7126635      134.6458963      491.4152124    -3756.7268764     -404.9300964     5719.1926319
    322635.4205008       56.7744877      134.6146802      491.4375874    -3750.7647660     -402.4969802     5723.2774808
    322635.4371675       56.8363053      134.5833751      491.4599537    -3744.7980297     -400.0633675     5727.3552513
    322635.4538341       56.8981160      134.5519807      491.4823111    -3738.8266731     -397.6292607     5731.4259395
    322635.4705008       56.9599200      134.5204964      491.5046595    -3732.8507073     -395.1946643     5735.4895380
    322635.4871675       57.0217171      134.4889218      491.5269989    -3726.8701378     -392.7595805     5739.5460430
    322635.5038341       57.0835073      134.4572563      491.5493290    -3720.8849721     -390.3240124     5743.5954496
    322635.5205008       57.1452907      134.4254993      491.5716499    -3714.8952156     -387.8879621     5747.6377540
    322635.5371675       57.2070671      134.3936505      491.5939615    -3708.9008796     -385.4514343     5751.6729489
    322635.5538341       57.2688365      134.3617093      491.6162636    -3702.9019696     -383.0144311     5755.7010306
    322635.5705008       57.3305989      134.3296752      491.6385561    -3696.8984931     -380.5769556     5759.7219940
    322635.5871675       57.3923542      134.2975475      491.6608391    -3690.8904555     -378.1390100     5763.7358356
    322635.6038341       57.4541025      134.2653259      491.6831122    -3684.8778681     -375.7005989     5767.7425479
    322635.6205008       57.5158437      134.2330098      491.7053756    -3678.8607365     -373.2617244     5771.7421273
    322635.6371675       57.5775777      134.2005987      491.7276290    -3672.8390681     -370.8223897     5775.7345689
    322635.6538341       57.6393045      134.1680919      491.7498725    -3666.8128685     -368.3825969     5779.7198690
    322635.6705008       57.7010242      134.1354891      491.7721058    -3660.7821490     -365.9423506     5783.6980203
    322635.6871675       57.7627365      134.1027895      491.7943289    -3654.7469151     -363.5016531     5787.6690192
    322635.7038341       57.8244416      134.0699927      491.8165418    -3648.7071742     -361.0605073     5791.6328608
    322635.7205008       57.8861393      134.0370982      491.8387443    -3642.6629321     -358.6189156     5795.5895415
