     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322693.6205008     -787.4165801    -1163.3825813    -6719.8410015       -7.2104243       -2.1110357        1.2185894
    322693.6371675     -794.6266173    -1165.4929312    -6718.6182639       -7.2094550       -2.1096088        1.2268465
    322693.6538341     -801.8356785    -1167.6018522    -6717.3872702       -7.2084768       -2.1081792        1.2351022
    322693.6705008     -809.0437571    -1169.7093424    -6716.1480214       -7.2074898       -2.1067471        1.2433564
    322693.6871675     -816.2508443    -1171.8153991    -6714.9005190       -7.2064940       -2.1053124        1.2516091
    322693.7038341     -823.4569335    -1173.9200205    -6713.6447642       -7.2054893       -2.1038751        1.2598603
    322693.7205008     -830.6620113    -1176.0232026    -6712.3807592       -7.2044758       -2.1024352        1.2681100
    322693.7371675     -837.8660711    -1178.1249435    -6711.1085051       -7.2034534       -2.1009928        1.2763583
    322693.7538341     -845.0691041    -1180.2252405    -6709.8280034       -7.2024222       -2.0995477        1.2846050
    322693.7705008     -852.2711037    -1182.3240919    -6708.5392553       -7.2013822       -2.0981001        1.2928501
    322693.7871675     -859.4720567    -1184.4214937    -6707.2422630       -7.2003334       -2.0966499        1.3010938
    322693.8038341     -866.6719564    -1186.5174440    -6705.9370278       -7.1992757       -2.0951971        1.3093358
    322693.8205008     -873.8707939    -1188.6119401    -6704.6235512       -7.1982092       -2.0937417        1.3175764
    322693.8371675     -881.0685628    -1190.7049802    -6703.3018343       -7.1971338       -2.0922838        1.3258153
    322693.8538341     -888.2652496    -1192.7965604    -6701.9718795       -7.1960497       -2.0908232        1.3340527
    322693.8705008     -895.4608478    -1194.8866788    -6700.6336881       -7.1949567       -2.0893602        1.3422885
    322693.8871675     -902.6553486    -1196.9753328    -6699.2872615       -7.1938549       -2.0878945        1.3505227
    322693.9038341     -909.8487455    -1199.0625204    -6697.9326010       -7.1927442       -2.0864263        1.3587552
    322693.9205008     -917.0410249    -1201.1482379    -6696.5697091       -7.1916248       -2.0849555        1.3669862
    322693.9371675     -924.2321805    -1203.2324833    -6695.1985869       -7.1904965       -2.0834821        1.3752155
    322693.9538341     -931.4222034    -1205.3152540    -6693.8192360       -7.1893594       -2.0820062        1.3834432
    322693.9705008     -938.6110870    -1207.3965481    -6692.4316578       -7.1882135       -2.0805277        1.3916693
    322693.9871675     -945.7988180    -1209.4763618    -6691.0358547       -7.1870588       -2.0790467        1.3998937
    322694.0038341     -952.9853899    -1211.5546932    -6689.6318279       -7.1858952       -2.0775631        1.4081164
    322694.0205008     -960.1707937    -1213.6315396    -6688.2195791       -7.1847229       -2.0760770        1.4163374
    322694.0371675     -967.3550230    -1215.7068993    -6686.7991095       -7.1835417       -2.0745882        1.4245568
    322694.0538341     -974.5380644    -1217.7807682    -6685.3704218       -7.1823517       -2.0730970        1.4327744
    322694.0705008     -981.7199115    -1219.8531447    -6683.9335172       -7.1811529       -2.0716032        1.4409903
    322694.0871675     -988.9005553    -1221.9240260    -6682.4883974       -7.1799453       -2.0701068        1.4492046
    322694.1038341     -996.0799893    -1223.9934103    -6681.0350637       -7.1787289       -2.0686079        1.4574171
    322694.1205008    -1003.2582002    -1226.0612938    -6679.5735187       -7.1775036       -2.0671065        1.4656278
    322694.1371675    -1010.4351815    -1228.1276745    -6678.1037637       -7.1762696       -2.0656025        1.4738368
    322694.1538341    -1017.6109243    -1230.1925499    -6676.6258005       -7.1750268       -2.0640960        1.4820440
    322694.1705008    -1024.7854221    -1232.2559182    -6675.1396303       -7.1737752       -2.0625869        1.4902495
    322694.1871675    -1031.9586616    -1234.3177754    -6673.6452559       -7.1725147       -2.0610753        1.4984532
    322694.2038341    -1039.1306362    -1236.3781197    -6672.1426786       -7.1712455       -2.0595611        1.5066551
    322694.2205008    -1046.3013394    -1238.4369492    -6670.6318997       -7.1699675       -2.0580445        1.5148552
    322694.2371675    -1053.4707579    -1240.4942602    -6669.1129220       -7.1686806       -2.0565252        1.5230535
    322694.2538341    -1060.6388852    -1242.5500506    -6667.5857468       -7.1673850       -2.0550035        1.5312500
    322694.2705008    -1067.8057124    -1244.6043179    -6666.0503759       -7.1660806       -2.0534792        1.5394447
    322694.2871675    -1074.9712330    -1246.6570604    -6664.5068106       -7.1647674       -2.0519524        1.5476375
    322694.3038341    -1082.1354338    -1248.7082741    -6662.9550539       -7.1634454       -2.0504231        1.5558284
    322694.3205008    -1089.2983081    -1250.7579572    -6661.3951070       -7.1621146       -2.0488913        1.5640175
    322694.3371675    -1096.4598472    -1252.8061072    -6659.8269718       -7.1607750       -2.0473569        1.5722048
    322694.3538341    -1103.6200446    -1254.8527222    -6658.2506497       -7.1594267       -2.0458200        1.5803901
    322694.3705008    -1110.7788869    -1256.8977983    -6656.6661436       -7.1580695       -2.0442806        1.5885736
    322694.3871675    -1117.9363677    -1258.9413338    -6655.0734549       -7.1567036       -2.0427387        1.5967552
    322694.4038341    -1125.0924781    -1260.9833260    -6653.4725854       -7.1553289       -2.0411942        1.6049348
    322694.4205008    -1132.2472116    -1263.0237732    -6651.8635366       -7.1539454       -2.0396473        1.6131126
    322694.4371675    -1139.4005550    -1265.0626715    -6650.2463115       -7.1525531       -2.0380978        1.6212884
    322694.4538341    -1146.5525017    -1267.1000190    -6648.6209114       -7.1511521       -2.0365459        1.6294622
    322694.4705008    -1153.7030429    -1269.1358133    -6646.9873382       -7.1497422       -2.0349914        1.6376342
    322694.4871675    -1160.8521721    -1271.1700525    -6645.3455936       -7.1483236       -2.0334344        1.6458041
    322694.5038341    -1167.9998760    -1273.2027328    -6643.6956803       -7.1468963       -2.0318749        1.6539721
    322694.5205008    -1175.1461482    -1275.2338523    -6642.0375999       -7.1454601       -2.0303130        1.6621381
    322694.5371675    -1182.2909798    -1277.2634086    -6640.3713544       -7.1440152       -2.0287485        1.6703022
    322694.5538341    -1189.4343644    -1279.2913998    -6638.6969452       -7.1425615       -2.0271815        1.6784642
    322694.5705008    -1196.5762886    -1281.3178220    -6637.0143754       -7.1410991       -2.0256120        1.6866242
    322694.5871675    -1203.7167459    -1283.3426735    -6635.3236465       -7.1396279       -2.0240400        1.6947822
    322694.6038341    -1210.8557277    -1285.3659518    -6633.6247605       -7.1381479       -2.0224656        1.7029382
    322694.6205008    -1217.9932273    -1287.3876549    -6631.9177189       -7.1366592       -2.0208886        1.7110922
    322694.6371675    -1225.1292315    -1289.4077792    -6630.2025248       -7.1351617       -2.0193092        1.7192440
    322694.6538341    -1232.2637338    -1291.4263228    -6628.4791797       -7.1336555       -2.0177273        1.7273939
    322694.6705008    -1239.3967255    -1293.4432832    -6626.7476857       -7.1321405       -2.0161429        1.7355416
    322694.6871675    -1246.5282000    -1295.4586586    -6625.0080443       -7.1306167       -2.0145560        1.7436873
    322694.7038341    -1253.6581441    -1297.4724451    -6623.2602588       -7.1290842       -2.0129666        1.7518309
    322694.7205008    -1260.7865513    -1299.4846410    -6621.5043305       -7.1275429       -2.0113747        1.7599724
    322694.7371675    -1267.9134128    -1301.4952438    -6619.7402617       -7.1259929       -2.0097804        1.7681118
    322694.7538341    -1275.0387222    -1303.5042517    -6617.9680540       -7.1244342       -2.0081836        1.7762491
    322694.7705008    -1282.1624661    -1305.5116608    -6616.1877104       -7.1228667       -2.0065843        1.7843842
    322694.7871675    -1289.2846382    -1307.5174694    -6614.3992327       -7.1212904       -2.0049826        1.7925173
    322694.8038341    -1296.4052296    -1309.5216750    -6612.6026229       -7.1197055       -2.0033784        1.8006481
    322694.8205008    -1303.5242339    -1311.5242757    -6610.7978827       -7.1181117       -2.0017717        1.8087768
    322694.8371675    -1310.6416378    -1313.5252678    -6608.9850153       -7.1165093       -2.0001625        1.8169034
    322694.8538341    -1317.7574348    -1315.5246496    -6607.1640223       -7.1148981       -1.9985509        1.8250277
    322694.8705008    -1324.8716185    -1317.5224191    -6605.3349054       -7.1132782       -1.9969368        1.8331499
    322694.8871675    -1331.9841756    -1319.5185726    -6603.4976679       -7.1116495       -1.9953203        1.8412699
    322694.9038341    -1339.0950996    -1321.5131084    -6601.6523114       -7.1100121       -1.9937013        1.8493876
    322694.9205008    -1346.2043819    -1323.5060239    -6599.7988381       -7.1083660       -1.9920799        1.8575032
    322694.9371675    -1353.3120159    -1325.4973173    -6597.9372497       -7.1067111       -1.9904560        1.8656165
    322694.9538341    -1360.4179884    -1327.4869849    -6596.0675496       -7.1050475       -1.9888296        1.8737276
    322694.9705008    -1367.5222929    -1329.4750249    -6594.1897394       -7.1033753       -1.9872008        1.8818365
    322694.9871675    -1374.6249207    -1331.4614349    -6592.3038213       -7.1016942       -1.9855696        1.8899430
    322695.0038341    -1381.7258654    -1333.4462130    -6590.4097972       -7.1000045       -1.9839359        1.8980474
    322695.0205008    -1388.8251137    -1335.4293555    -6588.5076703       -7.0983060       -1.9822997        1.9061494
    322695.0371675    -1395.9226591    -1337.4108606    -6586.5974424       -7.0965989       -1.9806611        1.9142492
    322695.0538341    -1403.0184930    -1339.3907259    -6584.6791158       -7.0948830       -1.9790201        1.9223466
    322695.0705008    -1410.1126088    -1341.3689496    -6582.7526922       -7.0931584       -1.9773767        1.9304418
    322695.0871675    -1417.2049935    -1343.3455279    -6580.8181751       -7.0914251       -1.9757308        1.9385346
    322695.1038341    -1424.2956404    -1345.3204591    -6578.8755661       -7.0896831       -1.9740824        1.9466251
    322695.1205008    -1431.3845409    -1347.2937406    -6576.9248678       -7.0879323       -1.9724317        1.9547133
    322695.1371675    -1438.4716886    -1349.2653708    -6574.9660817       -7.0861729       -1.9707785        1.9627992
    322695.1538341    -1445.5570702    -1351.2353460    -6572.9992115       -7.0844048       -1.9691228        1.9708826
    322695.1705008    -1452.6406793    -1353.2036642    -6571.0242588       -7.0826280       -1.9674648        1.9789638
    322695.1871675    -1459.7225072    -1355.1703232    -6569.0412261       -7.0808425       -1.9658043        1.9870425
    322695.2038341    -1466.8025474    -1357.1353211    -6567.0501152       -7.0790482       -1.9641414        1.9951189
    322695.2205008    -1473.8807868    -1359.0986542    -6565.0509296       -7.0772453       -1.9624761        2.0031928
    322695.2371675    -1480.9572189    -1361.0603208    -6563.0436711       -7.0754337       -1.9608084        2.0112644
    322695.2538341    -1488.0318350    -1363.0203184    -6561.0283422       -7.0736134       -1.9591382        2.0193335
    322695.2705008    -1495.1046287    -1364.9786452    -6559.0049447       -7.0717845       -1.9574656        2.0274002
    322695.2871675    -1502.1755868    -1366.9352976    -6556.9734821       -7.0699468       -1.9557907        2.0354645
    322695.3038341    -1509.2447029    -1368.8902738    -6554.9339564       -7.0681004       -1.9541133        2.0435263
    322695.3205008    -1516.3119682    -1370.8435714    -6552.8863700       -7.0662454       -1.9524335        2.0515857
    322695.3371675    -1523.3773763    -1372.7951885    -6550.8307246       -7.0643817       -1.9507513        2.0596427
    322695.3538341    -1530.4409142    -1374.7451216    -6548.7670242       -7.0625093       -1.9490667        2.0676971
    322695.3705008    -1537.5025753    -1376.6933688    -6546.6952704       -7.0606283       -1.9473796        2.0757491
    322695.3871675    -1544.5623509    -1378.6399278    -6544.6154658       -7.0587385       -1.9456902        2.0837985
    322695.4038341    -1551.6202347    -1380.5847968    -6542.5276122       -7.0568401       -1.9439984        2.0918455
    322695.4205008    -1558.6762135    -1382.5279721    -6540.4317134       -7.0549331       -1.9423042        2.0998900
    322695.4371675    -1565.7302809    -1384.4694520    -6538.3277714       -7.0530173       -1.9406076        2.1079319
    322695.4538341    -1572.7824281    -1386.4092341    -6536.2157886       -7.0510929       -1.9389086        2.1159713
    322695.4705008    -1579.8326488    -1388.3473165    -6534.0957669       -7.0491599       -1.9372072        2.1240082
    322695.4871675    -1586.8809299    -1390.2836957    -6531.9677101       -7.0472182       -1.9355034        2.1320425
    322695.5038341    -1593.9272649    -1392.2183699    -6529.8316202       -7.0452678       -1.9337973        2.1400742
    322695.5205008    -1600.9716473    -1394.1513374    -6527.6874991       -7.0433088       -1.9320887        2.1481034
    322695.5371675    -1608.0140641    -1396.0825944    -6525.5353507       -7.0413411       -1.9303778        2.1561300
    322695.5538341    -1615.0545090    -1398.0121394    -6523.3751769       -7.0393648       -1.9286645        2.1641540
    322695.5705008    -1622.0929731    -1399.9399698    -6521.2069803       -7.0373798       -1.9269488        2.1721754
    322695.5871675    -1629.1294501    -1401.8660839    -6519.0307628       -7.0353861       -1.9252308        2.1801942
    322695.6038341    -1636.1639268    -1403.7904781    -6516.8465284       -7.0333839       -1.9235103        2.1882103
    322695.6205008    -1643.1963970    -1405.7131506    -6514.6542791       -7.0313730       -1.9217875        2.1962239
    322695.6371675    -1650.2268519    -1407.6340992    -6512.4540174       -7.0293534       -1.9200623        2.2042348
    322695.6538341    -1657.2552851    -1409.5533219    -6510.2457453       -7.0273252       -1.9183348        2.2122430
    322695.6705008    -1664.2816835    -1411.4708153    -6508.0294670       -7.0252884       -1.9166049        2.2202486
    322695.6871675    -1671.3060407    -1413.3865775    -6505.8051843       -7.0232430       -1.9148726        2.2282515
    322695.7038341    -1678.3283482    -1415.3006063    -6503.5728999       -7.0211889       -1.9131380        2.2362517
    322695.7205008    -1685.3485995    -1417.2128998    -6501.3326158       -7.0191262       -1.9114010        2.2442493
    322695.7371675    -1692.3667814    -1419.1234545    -6499.0843361       -7.0170548       -1.9096616        2.2522441
    322695.7538341    -1699.3828877    -1421.0322687    -6496.8280628       -7.0149749       -1.9079199        2.2602363
    322695.7705008    -1706.3969096    -1422.9393399    -6494.5637987       -7.0128863       -1.9061758        2.2682257
    322695.7871675    -1713.4088409    -1424.8446665    -6492.2915456       -7.0107891       -1.9044294        2.2762124
    322695.8038341    -1720.4186684    -1426.7482448    -6490.0113079       -7.0086833       -1.9026806        2.2841964
    322695.8205008    -1727.4263858    -1428.6500732    -6487.7230874       -7.0065689       -1.9009295        2.2921776
    322695.8371675    -1734.4319844    -1430.5501492    -6485.4268871       -7.0044458       -1.8991761        2.3001560
    322695.8538341    -1741.4354578    -1432.4484712    -6483.1227088       -7.0023142       -1.8974203        2.3081317
    322695.8705008    -1748.4367930    -1434.3450356    -6480.8105569       -7.0001740       -1.8956621        2.3161046
    322695.8871675    -1755.4359837    -1436.2398407    -6478.4904334       -6.9980251       -1.8939017        2.3240747
    322695.9038341    -1762.4330212    -1438.1328840    -6476.1623410       -6.9958677       -1.8921388        2.3320420
    322695.9205008    -1769.4278990    -1440.0241640    -6473.8262819       -6.9937016       -1.8903737        2.3400066
    322695.9371675    -1776.4206043    -1441.9136770    -6471.4822603       -6.9915270       -1.8886062        2.3479683
    322695.9538341    -1783.4111306    -1443.8014213    -6469.1302784       -6.9893437       -1.8868364        2.3559271
    322695.9705008    -1790.3994694    -1445.6873946    -6466.7703389       -6.9871519       -1.8850642        2.3638832
    322695.9871675    -1797.3856142    -1447.5715952    -6464.4024439       -6.9849515       -1.8832898        2.3718364
    322696.0038341    -1804.3695520    -1449.4540195    -6462.0265978       -6.9827425       -1.8815130        2.3797867
    322696.0205008    -1811.3512765    -1451.3346658    -6459.6428027       -6.9805249       -1.8797339        2.3877342
    322696.0371675    -1818.3307791    -1453.2135319    -6457.2510615       -6.9782988       -1.8779524        2.3956788
    322696.0538341    -1825.3080534    -1455.0906158    -6454.8513762       -6.9760640       -1.8761687        2.4036205
    322696.0705008    -1832.2830864    -1456.9659143    -6452.4437514       -6.9738207       -1.8743826        2.4115593
    322696.0871675    -1839.2558718    -1458.8394255    -6450.0281891       -6.9715688       -1.8725942        2.4194952
    322696.1038341    -1846.2264010    -1460.7111471    -6447.6046922       -6.9693084       -1.8708035        2.4274282
    322696.1205008    -1853.1946676    -1462.5810775    -6445.1732629       -6.9670394       -1.8690105        2.4353583
    322696.1371675    -1860.1606587    -1464.4492130    -6442.7339057       -6.9647618       -1.8672152        2.4432854
    322696.1538341    -1867.1243678    -1466.3155521    -6440.2866227       -6.9624756       -1.8654176        2.4512096
    322696.1705008    -1874.0857887    -1468.1800930    -6437.8314161       -6.9601809       -1.8636177        2.4591309
    322696.1871675    -1881.0449084    -1470.0428321    -6435.3682904       -6.9578776       -1.8618155        2.4670492
    322696.2038341    -1888.0017204    -1471.9037679    -6432.8972478       -6.9555658       -1.8600110        2.4749645
    322696.2205008    -1894.9562163    -1473.7628980    -6430.4182913       -6.9532454       -1.8582041        2.4828768
    322696.2371675    -1901.9083898    -1475.6202207    -6427.9314231       -6.9509165       -1.8563950        2.4907862
    322696.2538341    -1908.8582278    -1477.4757325    -6425.4366477       -6.9485791       -1.8545836        2.4986925
    322696.2705008    -1915.8057240    -1479.3294317    -6422.9339674       -6.9462330       -1.8527699        2.5065958
    322696.2871675    -1922.7508699    -1481.1813161    -6420.4233851       -6.9438785       -1.8509540        2.5144961
    322696.3038341    -1929.6936591    -1483.0313839    -6417.9049032       -6.9415154       -1.8491357        2.5223934
    322696.3205008    -1936.6340787    -1484.8796317    -6415.3785262       -6.9391438       -1.8473152        2.5302877
    322696.3371675    -1943.5721224    -1486.7260577    -6412.8442564       -6.9367636       -1.8454923        2.5381789
    322696.3538341    -1950.5077817    -1488.5706598    -6410.3020968       -6.9343749       -1.8436672        2.5460670
    322696.3705008    -1957.4410501    -1490.4134362    -6407.7520497       -6.9319777       -1.8418399        2.5539521
    322696.3871675    -1964.3719148    -1492.2543834    -6405.1941198       -6.9295720       -1.8400102        2.5618341
    322696.4038341    -1971.3003695    -1494.0934998    -6402.6283093       -6.9271577       -1.8381783        2.5697130
    322696.4205008    -1978.2264056    -1495.9307832    -6400.0546215       -6.9247350       -1.8363441        2.5775888
    322696.4371675    -1985.1500169    -1497.7662317    -6397.4730584       -6.9223037       -1.8345076        2.5854615
    322696.4538341    -1992.0711903    -1499.5998420    -6394.8836249       -6.9198639       -1.8326689        2.5933310
    322696.4705008    -1998.9899197    -1501.4316125    -6392.2863233       -6.9174155       -1.8308279        2.6011975
    322696.4871675    -2005.9061964    -1503.2615408    -6389.6811568       -6.9149587       -1.8289846        2.6090608
    322696.5038341    -2012.8200142    -1505.0896252    -6387.0681275       -6.9124934       -1.8271391        2.6169210
    322696.5205008    -2019.7313602    -1506.9158624    -6384.4472404       -6.9100196       -1.8252913        2.6247780
    322696.5371675    -2026.6402281    -1508.7402506    -6381.8184978       -6.9075372       -1.8234413        2.6326319
    322696.5538341    -2033.5466093    -1510.5627877    -6379.1819028       -6.9050464       -1.8215890        2.6404825
    322696.5705008    -2040.4504977    -1512.3834719    -6376.5374578       -6.9025471       -1.8197345        2.6483300
    322696.5871675    -2047.3518802    -1514.2022998    -6373.8851676       -6.9000393       -1.8178777        2.6561743
    322696.6038341    -2054.2507506    -1516.0192699    -6371.2250347       -6.8975230       -1.8160187        2.6640154
    322696.6205008    -2061.1471005    -1517.8343797    -6368.5570621       -6.8949982       -1.8141574        2.6718533
    322696.6371675    -2068.0409235    -1519.6476277    -6365.8812524       -6.8924649       -1.8122939        2.6796880
    322696.6538341    -2074.9322067    -1521.4590104    -6363.1976103       -6.8899232       -1.8104282        2.6875194
    322696.6705008    -2081.8209439    -1523.2685263    -6360.5061384       -6.8873730       -1.8085602        2.6953476
    322696.6871675    -2088.7071267    -1525.0761730    -6357.8068398       -6.8848143       -1.8066899        2.7031725
    322696.7038341    -2095.5907486    -1526.8819489    -6355.0997169       -6.8822472       -1.8048175        2.7109942
    322696.7205008    -2102.4717970    -1528.6858506    -6352.3847748       -6.8796715       -1.8029428        2.7188126
    322696.7371675    -2109.3502654    -1530.4878765    -6349.6620158       -6.8770874       -1.8010659        2.7266277
    322696.7538341    -2116.2261455    -1532.2880244    -6346.9314433       -6.8744949       -1.7991868        2.7344395
    322696.7705008    -2123.0994309    -1534.0862925    -6344.1930596       -6.8718939       -1.7973054        2.7422481
    322696.7871675    -2129.9701089    -1535.8826776    -6341.4468697       -6.8692844       -1.7954218        2.7500533
    322696.8038341    -2136.8381732    -1537.6771779    -6338.6928763       -6.8666665       -1.7935360        2.7578552
    322696.8205008    -2143.7036174    -1539.4697919    -6335.9310816       -6.8640402       -1.7916480        2.7656538
    322696.8371675    -2150.5664289    -1541.2605161    -6333.1614908       -6.8614054       -1.7897578        2.7734490
    322696.8538341    -2157.4266013    -1543.0493490    -6330.3841063       -6.8587621       -1.7878653        2.7812409
    322696.8705008    -2164.2841261    -1544.8362883    -6327.5989316       -6.8561104       -1.7859707        2.7890294
    322696.8871675    -2171.1389972    -1546.6213323    -6324.8059690       -6.8534503       -1.7840738        2.7968146
    322696.9038341    -2177.9912018    -1548.4044778    -6322.0052237       -6.8507818       -1.7821747        2.8045964
    322696.9205008    -2184.8407335    -1550.1857231    -6319.1966982       -6.8481048       -1.7802735        2.8123748
    322696.9371675    -2191.6875840    -1551.9650660    -6316.3803959       -6.8454194       -1.7783700        2.8201498
    322696.9538341    -2198.5317469    -1553.7425049    -6313.5563193       -6.8427255       -1.7764643        2.8279214
    322696.9705008    -2205.3732097    -1555.5180363    -6310.7244737       -6.8400233       -1.7745564        2.8356896
    322696.9871675    -2212.2119659    -1557.2916588    -6307.8848614       -6.8373126       -1.7726464        2.8434544
    322697.0038341    -2219.0480072    -1559.0633701    -6305.0374860       -6.8345935       -1.7707341        2.8512157
    322697.0205008    -2225.8813273    -1560.8331686    -6302.1823500       -6.8318660       -1.7688197        2.8589736
    322697.0371675    -2232.7119135    -1562.6010510    -6299.3194586       -6.8291301       -1.7669030        2.8667281
    322697.0538341    -2239.5397596    -1564.3670155    -6296.4488145       -6.8263858       -1.7649842        2.8744790
    322697.0705008    -2246.3648571    -1566.1310602    -6293.5704209       -6.8236331       -1.7630632        2.8822265
    322697.0871675    -2253.1871998    -1567.8931833    -6290.6842807       -6.8208720       -1.7611401        2.8899706
    322697.1038341    -2260.0067749    -1569.6533815    -6287.7903989       -6.8181025       -1.7592147        2.8977111
    322697.1205008    -2266.8235764    -1571.4116533    -6284.8887783       -6.8153246       -1.7572872        2.9054481
    322697.1371675    -2273.6375957    -1573.1679964    -6281.9794223       -6.8125383       -1.7553575        2.9131817
    322697.1538341    -2280.4488266    -1574.9224092    -6279.0623335       -6.8097436       -1.7534256        2.9209117
    322697.1705008    -2287.2572565    -1576.6748885    -6276.1375173       -6.8069406       -1.7514915        2.9286382
    322697.1871675    -2294.0628790    -1578.4254326    -6273.2049763       -6.8041291       -1.7495553        2.9363611
    322697.2038341    -2300.8656860    -1580.1740394    -6270.2647141       -6.8013093       -1.7476170        2.9440805
    322697.2205008    -2307.6656710    -1581.9207073    -6267.3167332       -6.7984812       -1.7456764        2.9517963
    322697.2371675    -2314.4628214    -1583.6654330    -6264.3610391       -6.7956446       -1.7437337        2.9595086
    322697.2538341    -2321.2571311    -1585.4082148    -6261.3976344       -6.7927997       -1.7417889        2.9672173
    322697.2705008    -2328.0485917    -1587.1490507    -6258.4265227       -6.7899464       -1.7398419        2.9749224
    322697.2871675    -2334.8371968    -1588.8879390    -6255.4477067       -6.7870848       -1.7378927        2.9826239
    322697.3038341    -2341.6229340    -1590.6248765    -6252.4611918       -6.7842148       -1.7359414        2.9903218
    322697.3205008    -2348.4057970    -1592.3598616    -6249.4669807       -6.7813364       -1.7339879        2.9980161
    322697.3371675    -2355.1857773    -1594.0928921    -6246.4650771       -6.7784497       -1.7320323        3.0057068
    322697.3538341    -2361.9628690    -1595.8239665    -6243.4554835       -6.7755547       -1.7300746        3.0133939
    322697.3705008    -2368.7370592    -1597.5530814    -6240.4382056       -6.7726513       -1.7281147        3.0210773
    322697.3871675    -2375.5083418    -1599.2802354    -6237.4132460       -6.7697396       -1.7261526        3.0287570
    322697.4038341    -2382.2767085    -1601.0054263    -6234.3806084       -6.7668195       -1.7241885        3.0364331
    322697.4205008    -2389.0421530    -1602.7286524    -6231.3402955       -6.7638912       -1.7222222        3.0441055
    322697.4371675    -2395.8046628    -1604.4499106    -6228.2923129       -6.7609544       -1.7202538        3.0517743
    322697.4538341    -2402.5642317    -1606.1691992    -6225.2366633       -6.7580094       -1.7182832        3.0594393
    322697.4705008    -2409.3208535    -1607.8865167    -6222.1733494       -6.7550560       -1.7163105        3.0671007
    322697.4871675    -2416.0745155    -1609.6018600    -6219.1023770       -6.7520944       -1.7143357        3.0747583
    322697.5038341    -2422.8252117    -1611.3152273    -6216.0237486       -6.7491244       -1.7123588        3.0824122
    322697.5205008    -2429.5729337    -1613.0266166    -6212.9374681       -6.7461460       -1.7103797        3.0900624
    322697.5371675    -2436.3176753    -1614.7360263    -6209.8435382       -6.7431594       -1.7083986        3.0977089
    322697.5538341    -2443.0594239    -1616.4434532    -6206.7419647       -6.7401645       -1.7064153        3.1053516
    322697.5705008    -2449.7981734    -1618.1488957    -6203.6327501       -6.7371613       -1.7044299        3.1129906
    322697.5871675    -2456.5339155    -1619.8523517    -6200.5158985       -6.7341498       -1.7024424        3.1206258
    322697.6038341    -2463.2666441    -1621.5538197    -6197.3914124       -6.7311300       -1.7004528        3.1282572
    322697.6205008    -2469.9963464    -1623.2532965    -6194.2592977       -6.7281019       -1.6984610        3.1358848
    322697.6371675    -2476.7230165    -1624.9507804    -6191.1195571       -6.7250655       -1.6964672        3.1435087
    322697.6538341    -2483.4466460    -1626.6462695    -6187.9721946       -6.7220208       -1.6944713        3.1511287
    322697.6705008    -2490.1672288    -1628.3397621    -6184.8172128       -6.7189678       -1.6924733        3.1587450
    322697.6871675    -2496.8847523    -1630.0312550    -6181.6546176       -6.7159066       -1.6904732        3.1663574
    322697.7038341    -2503.5992104    -1631.7207468    -6178.4844118       -6.7128371       -1.6884710        3.1739659
    322697.7205008    -2510.3105948    -1633.4082352    -6175.3065992       -6.7097593       -1.6864667        3.1815707
    322697.7371675    -2517.0188994    -1635.0937188    -6172.1211828       -6.7066733       -1.6844603        3.1891716
    322697.7538341    -2523.7241116    -1636.7771945    -6168.9281683       -6.7035790       -1.6824518        3.1967686
    322697.7705008    -2530.4262254    -1638.4586605    -6165.7275586       -6.7004764       -1.6804412        3.2043618
    322697.7871675    -2537.1252324    -1640.1381150    -6162.5193576       -6.6973656       -1.6784286        3.2119511
    322697.8038341    -2543.8211266    -1641.8155562    -6159.3035681       -6.6942466       -1.6764139        3.2195365
    322697.8205008    -2550.5138954    -1643.4909812    -6156.0801961       -6.6911193       -1.6743971        3.2271180
    322697.8371675    -2557.2035327    -1645.1643883    -6152.8492445       -6.6879837       -1.6723782        3.2346956
    322697.8538341    -2563.8900303    -1646.8357754    -6149.6107171       -6.6848399       -1.6703573        3.2422693
    322697.8705008    -2570.5733820    -1648.5051411    -6146.3646169       -6.6816879       -1.6683343        3.2498391
    322697.8871675    -2577.2535755    -1650.1724821    -6143.1109499       -6.6785276       -1.6663092        3.2574049
    322697.9038341    -2583.9306045    -1651.8377970    -6139.8497189       -6.6753591       -1.6642821        3.2649668
    322697.9205008    -2590.6044609    -1653.5010838    -6136.5809278       -6.6721824       -1.6622528        3.2725247
    322697.9371675    -2597.2751384    -1655.1623407    -6133.3045798       -6.6689975       -1.6602216        3.2800787
    322697.9538341    -2603.9426248    -1656.8215649    -6130.0206806       -6.6658043       -1.6581883        3.2876287
    322697.9705008    -2610.6069140    -1658.4787546    -6126.7292334       -6.6626030       -1.6561529        3.2951747
    322697.9871675    -2617.2679975    -1660.1339079    -6123.4302420       -6.6593934       -1.6541155        3.3027168
    322698.0038341    -2623.9258694    -1661.7870233    -6120.1237095       -6.6561756       -1.6520760        3.3102548
    322698.0205008    -2630.5805173    -1663.4380976    -6116.8096418       -6.6529496       -1.6500345        3.3177888
    322698.0371675    -2637.2319351    -1665.0871293    -6113.4880421       -6.6497154       -1.6479909        3.3253189
