     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322635.3038341    -3792.4019860     -419.5182032     5694.5351673        5.9317986        2.4297866        4.1306947
    322635.3205008    -3786.4677838     -417.0881276     5698.6623834        5.9364724        2.4303026        4.1236489
    322635.3371675    -3780.5289135     -414.6575383     5702.7825497        5.9411388        2.4308155        4.1165981
    322635.3538341    -3774.5853804     -412.2264376     5706.8956627        5.9457978        2.4313254        4.1095422
    322635.3705008    -3768.6371919     -409.7948285     5711.0017171        5.9504494        2.4318323        4.1024813
    322635.3871675    -3762.6843535     -407.3627133     5715.1007094        5.9550937        2.4323362        4.0954154
    322635.4038341    -3756.7268764     -404.9300964     5719.1926319        5.9597306        2.4328371        4.0883445
    322635.4205008    -3750.7647660     -402.4969802     5723.2774808        5.9643602        2.4333350        4.0812685
    322635.4371675    -3744.7980297     -400.0633675     5727.3552513        5.9689823        2.4338299        4.0741876
    322635.4538341    -3738.8266731     -397.6292607     5731.4259395        5.9735970        2.4343218        4.0671017
    322635.4705008    -3732.8507073     -395.1946643     5735.4895380        5.9782044        2.4348106        4.0600108
    322635.4871675    -3726.8701378     -392.7595805     5739.5460430        5.9828043        2.4352965        4.0529150
    322635.5038341    -3720.8849721     -390.3240124     5743.5954496        5.9873968        2.4357794        4.0458141
    322635.5205008    -3714.8952156     -387.8879621     5747.6377540        5.9919819        2.4362592        4.0387084
    322635.5371675    -3708.9008796     -385.4514343     5751.6729489        5.9965596        2.4367361        4.0315977
    322635.5538341    -3702.9019696     -383.0144311     5755.7010306        6.0011298        2.4372099        4.0244820
    322635.5705008    -3696.8984931     -380.5769556     5759.7219940        6.0056926        2.4376808        4.0173614
    322635.5871675    -3690.8904555     -378.1390100     5763.7358356        6.0102480        2.4381486        4.0102360
    322635.6038341    -3684.8778681     -375.7005989     5767.7425479        6.0147959        2.4386134        4.0031056
    322635.6205008    -3678.8607365     -373.2617244     5771.7421273        6.0193364        2.4390752        3.9959703
